OST:StopArea:0106857502,NSR:Quay:345
OST:StopArea:0135151002,NSR:Quay:346
OST:StopArea:0135151001,NSR:Quay:347
OST:StopArea:0106844002,NSR:Quay:348
AKT:StopArea:1034149101,NSR:Quay:349
OST:StopArea:0106847002,NSR:Quay:350
AKT:StopArea:1034149001,NSR:Quay:351
OST:StopArea:0135146601,NSR:Quay:352
AKT:StopArea:1034148601,NSR:Quay:353
OST:StopArea:0135148502,NSR:Quay:354
OST:StopArea:0135148501,NSR:Quay:355
AKT:StopArea:1034256301,NSR:Quay:356
AKT:StopArea:1034147001,NSR:Quay:357
AKT:StopArea:1034148201,NSR:Quay:358
AKT:StopArea:1034144401,NSR:Quay:359
AKT:StopArea:1034248301,NSR:Quay:360
AKT:StopArea:1034144801,NSR:Quay:361
AKT:StopArea:1034145601,NSR:Quay:362
OST:StopArea:0128801001,NSR:Quay:363
OST:StopArea:0128801002,NSR:Quay:364
AKT:StopArea:1034248701,NSR:Quay:365
OST:StopArea:0128836503,NSR:Quay:366
AKT:StopArea:1034150001,NSR:Quay:367
OST:StopArea:0128818501,NSR:Quay:368
AKT:StopArea:1034249101,NSR:Quay:369
OST:StopArea:0128818003,NSR:Quay:370
AKT:StopArea:1032135101,NSR:Quay:371
OST:StopArea:0128821503,NSR:Quay:372
AKT:StopArea:1032136501,NSR:Quay:373
OST:StopArea:0128821001,NSR:Quay:374
AKT:StopArea:1032139501,NSR:Quay:375
OST:StopArea:0128823001,NSR:Quay:376
AKT:StopArea:1032137901,NSR:Quay:377
OST:StopArea:0128835501,NSR:Quay:378
AKT:StopArea:1032132501,NSR:Quay:379
OST:StopArea:0128819001,NSR:Quay:380
AKT:StopArea:1032130301,NSR:Quay:381
OST:StopArea:0128799002,NSR:Quay:382
OST:StopArea:0128799001,NSR:Quay:383
AKT:StopArea:1032131101,NSR:Quay:384
OST:StopArea:0128835003,NSR:Quay:385
AKT:StopArea:1032133101,NSR:Quay:386
OST:StopArea:0128819501,NSR:Quay:387
AKT:StopArea:1034141501,NSR:Quay:388
OST:StopArea:0128836001,NSR:Quay:389
AKT:StopArea:1034142501,NSR:Quay:390
